fname,verified_tags,toptag_eng_verified,4Q
09 Area-3 (Electric Woods - The Fortress City).mid,"depressed, serious",serious,Q3
09 Bio-Monster.mid,"tense, speedy",tense,Q2
09 Cavern.mid,"tense, serious, speedy",tense,Q2
09 Change 3.mid,peaceful,peaceful,Q4
09 Clear.mid,"cheerful, grand",cheerful,Q1
09 Glory.mid,"cheerful, speedy, rhythmic",cheerful,Q1
09 Level 5.mid,"tense, serious, fluttered",tense,Q2
09 Mission 3.mid,"cheerful, tense, serious, speedy, cold",cheerful,Q1
09 Neargead Castle.mid,"tense, creepy, depressed, serious, dreamy, bizarre",bizarre,Q3
09 Stage-3.mid,"tense, serious, speedy, fluttered",tense,Q2
09 Tension of Dark Side (Area 3).mid,"tense, speedy, fluttered",tense,Q2
09 Zeodalley.mid,"tense, dreamy, bizarre, cold",tense,Q2
09_Ruins.mid,"cheerful, serious, speedy, fluttered",cheerful,Q1
10 - Game de check! Koutsuu Anzen (FM) - Pyonko-Chan - Well Done.mid,cheerful,cheerful,Q1
10 Act 4.mid,"tense, creepy, serious, speedy, grand, fluttered",tense,Q2
10 Area-4 (Clouds - The Air Castle).mid,"cheerful, speedy, fluttered, rhythmic",cheerful,Q1
10 Boss 3.mid,"tense, serious, speedy, grand",tense,Q2
10 Castle.mid,"cheerful, peaceful, touching, grand, fluttered",cheerful,Q1
10 Demo 1.mid,"cheerful, tense, speedy, grand, fluttered, rhythmic",cheerful,Q1
10 Dungeon.mid,"cheerful, tense, serious, speedy",cheerful,Q1
10 Ending.mid,"peaceful, serious, touching, calm",touching,Q4
10 Game Set (Won).mid,"cheerful, peaceful",cheerful,Q1
10 GAMP Mission.mid,"tense, serious",tense,Q2
10 Light Step.mid,"cheerful, speedy, rhythmic",speedy,Q1
10 Return of Peace.mid,"cheerful, peaceful, serious, touching, speedy, grand, fluttered",cheerful,Q1
10 Stage-4.mid,"cheerful, tense, serious, speedy, rhythmic",tense,Q2
10 The Devastation (Area 4).mid,"tense, creepy, serious",serious,Q3
10 Underground Dungeon (The Lost Talisman).mid,"tense, serious",tense,Q2
10_Forest.mid,"cheerful, tense, serious, speedy, grand, fluttered, rhythmic",cheerful,Q1
11 - Game de check! Koutsuu Anzen (FM) - Pyonko-Chan - Try Harder Next Time.mid,cheerful,cheerful,Q1
"11 Act 5, 8.mid","tense, serious, speedy, rhythmic",tense,Q2
11 Boss.mid,"tense, serious, speedy",tense,Q2
11 Calm Feeling.mid,"peaceful, serious, touching, dreamy, calm",touching,Q4
11 Ending.mid,"tense, depressed, serious, speedy",tense,Q2
11 Game Set (Draw).mid,"cheerful, speedy, grand",cheerful,Q1
11 Milly_s Theme.mid,"cheerful, peaceful, comic, speedy, cute, rhythmic",cheerful,Q1
11 Mission 4.mid,"tense, serious, speedy, grand",tense,Q2
11 Sadness.mid,"creepy, depressed, serious, boring, cold, calm",depressed,Q3
11 Sophistication #3.mid,"cheerful, rhythmic",cheerful,Q1
11 Stage 6.mid,"tense, creepy, serious, speedy, cold",tense,Q2
11 Stage-5.mid,"tense, serious, speedy, grand",tense,Q2
11 The Solitude (Area 5).mid,"cheerful, serious, speedy, rhythmic",serious,Q3
11 Visual Theme of Stacy (Visual Scene 2).mid,"peaceful, serious, fluttered, calm",fluttered,Q1
11 Voice of God.mid,"dreamy, boring, cold, calm",dreamy,Q4
11 Your Rank.mid,"cheerful, touching, speedy, grand, fluttered",touching,Q4
11_Complete.mid,"tense, grand, fluttered",fluttered,Q1
12 - Game de check! Koutsuu Anzen (FM) - Alex Kidd Jingle (unused).mid,"cheerful, cute",cheerful,Q1
12 Aerial Castle Appearance.mid,"creepy, dreamy, boring, bizarre",bizarre,Q3
12 Area-5 (Van Allen - The Alien Attack).mid,"tense, speedy",tense,Q2
12 Boss 4.mid,"tense, creepy, speedy, rhythmic, cold",tense,Q2
12 Continue.mid,"tense, speedy, dreamy",tense,Q2
12 Event Clear.mid,"cheerful, touching, grand",touching,Q4
"12 Game Over (Namco Logo, The Tower of Druaga).mid","serious, cold",cold,Q3
12 Game Set (Lose).mid,"cheerful, peaceful, comic, cute",cheerful,Q1
12 Red Zone (Area 6).mid,"tense, creepy, depressed, serious",tense,Q2
12 Stage 7.mid,"tense, serious, speedy, rhythmic",tense,Q2
12 Stage Clear.mid,cheerful,cheerful,Q1
12 Stage-6.mid,"tense, serious, speedy, grand, fluttered, cold",tense,Q2
12 Ultimate Weapon (Last Boss).mid,"tense, creepy, depressed, bizarre, cold, calm",bizarre,Q3
12_Credits.mid,"serious, touching, speedy, calm",touching,Q4
13 Area-6 (What_s Goin_on in the Chase).mid,"cheerful, tense, speedy",cheerful,Q1
13 Demo.mid,"tense, depressed, frustrating, cold",tense,Q2
13 Don_t Cry Hi-Yah (Area 7).mid,"cheerful, tense, creepy, serious, speedy",tense,Q2
13 Drunkard.mid,"depressed, serious, boring",depressed,Q3
13 Ending #1.mid,"tense, serious, speedy, fluttered",tense,Q2
13 Game Over.mid,"cheerful, cute",cheerful,Q1
13 Mission 5.mid,"cheerful, tense, serious, speedy, fluttered",cheerful,Q1
13 Ship.mid,"touching, calm",touching,Q4
13 Shooting Scene.mid,"cheerful, tense, speedy",cheerful,Q1
13 Staff Roll.mid,"cheerful, speedy, fluttered, rhythmic",cheerful,Q1
13 Stage 8.mid,"tense, serious, speedy, fluttered",tense,Q2
13 The Final Curtain.mid,"tense, speedy, fluttered",tense,Q2
14 Aerial Castle Kwol.mid,"tense, depressed, grand",tense,Q2
14 Bloody Jewel (Area 8).mid,"cheerful, tense, dreamy",tense,Q2
14 Boss 2.mid,"tense, creepy, speedy, rhythmic, cold",tense,Q2
14 Boss 5.mid,"tense, serious, speedy, rhythmic",tense,Q2
14 Clear #2.mid,"cheerful, fluttered",cheerful,Q1
14 Conspirators.mid,"creepy, dreamy, bizarre",dreamy,Q4
14 Extend (Compile).mid,cheerful,cheerful,Q1
14 Fortress.mid,"tense, creepy, depressed, serious, cold, calm",tense,Q2
14 Pirate Island.mid,"cheerful, tense, speedy, fluttered, rhythmic",cheerful,Q1
14 Staff Roll (Short).mid,"cheerful, speedy, fluttered, rhythmic",cheerful,Q1
14 Visual Great Race (Visual Scene 3).mid,"tense, serious",tense,Q2
15 Dogodaga-Dogodege (Final Boss).mid,"tense, speedy",tense,Q2
15 Dragon.mid,"cheerful, touching, grand, fluttered",cheerful,Q1
15 Ending #2.mid,"cheerful, serious, grand",cheerful,Q1
15 Game Over.mid,"cold, calm",calm,Q4
15 Last Boss.mid,"tense, creepy, serious, bizarre",tense,Q2
15 Mission 6.mid,"tense, speedy, fluttered, rhythmic",tense,Q2
15 Name Entry.mid,"tense, serious, speedy, rhythmic",speedy,Q1
15 Spanish Communist Party.mid,"depressed, serious, boring, calm",depressed,Q3
15 Staff Roll (Ending Credits).mid,"depressed, serious, dreamy",dreamy,Q4
15 Unused 1.mid,"dreamy, bizarre, cold",cold,Q3
16 Again (Game Over).mid,"touching, dreamy, calm",touching,Q4
16 Agnesia.mid,"cheerful, tense, rhythmic",cheerful,Q1
16 Boss 6.mid,"tense, creepy, speedy, bizarre",bizarre,Q3
16 Demo 2.mid,"tense, creepy, depressed, dreamy, bizarre",bizarre,Q3
16 Ending 1.mid,"cheerful, peaceful, calm",cheerful,Q1
16 Game Over.mid,"dreamy, cold, calm",calm,Q4
16 Unused 2.mid,"tense, creepy, depressed, bizarre",bizarre,Q3
16 Visual Wedding (Hidden Ending).mid,"cheerful, peaceful, serious, touching, grand, cold, calm",touching,Q4
17 Boss 3.mid,"tense, speedy",tense,Q2
17 Ending 1.mid,"cheerful, serious, touching, fluttered",fluttered,Q1
17 Ending 2.mid,tense,tense,Q2
17 Game Over.mid,"depressed, frustrating, calm",depressed,Q3
17 Last Scene.mid,"tense, creepy, bizarre",tense,Q2
17 Mission 7.mid,"tense, speedy, dreamy, fluttered, rhythmic",tense,Q2
17 Triumph (Ending).mid,"cheerful, tense, serious",cheerful,Q1
18 Boss 7.mid,"cheerful, tense, speedy",cheerful,Q1
18 Darkmare.mid,"cheerful, tense, speedy, rhythmic",cheerful,Q1
18 Easy Going (Bonus Area).mid,"cheerful, fluttered",cheerful,Q1
18 Ending.mid,"cheerful, peaceful, touching",cheerful,Q1
18 Ending 2.mid,"cheerful, peaceful, speedy, fluttered",cheerful,Q1
18 Ending 3.mid,"peaceful, touching, calm",touching,Q4
19 Mission 8.mid,"cheerful, tense, serious",cheerful,Q1
19 Staff Roll.mid,"serious, dreamy, fluttered, cold",serious,Q3
19 Valua_s Feast.mid,"cheerful, comic, speedy, rhythmic",cheerful,Q1
20 Boss 8.mid,tense,tense,Q2
20 Epilogue.mid,"peaceful, touching, dreamy, cold, calm",touching,Q4
20 Game Over.mid,"depressed, frustrating, calm",frustrating,Q3
21 Mission 9.mid,"tense, speedy, grand, rhythmic",tense,Q2
21 Ranking Display.mid,"cheerful, tense, serious, speedy",tense,Q2
21 Rooftop (Thieves Tower).mid,"tense, creepy, bizarre",bizarre,Q3
22 Boss 9.mid,"cheerful, tense, serious, speedy, grand, rhythmic",cheerful,Q1
22 Ranking.mid,"cheerful, tense, serious, rhythmic",cheerful,Q1
22 Staff Roll.mid,"cheerful, comic, grand",cheerful,Q1
23 Event.mid,"cheerful, grand",cheerful,Q1
23 Giant Thexder.mid,"tense, creepy, serious, speedy, rhythmic",tense,Q2
23 In Captivity.mid,"tense, creepy, dreamy, bizarre",creepy,Q2
24 Ending.mid,"creepy, depressed, serious, calm",depressed,Q3
24 Go the Waterway.mid,"tense, creepy, dreamy, bizarre",bizarre,Q3
25 Save.mid,"peaceful, calm",calm,Q4
25 Water Pipe.mid,"tense, creepy, bizarre",tense,Q2
26 Cavern (Labyrinth).mid,"cheerful, tense, creepy, serious, rhythmic",tense,Q2
26 Shock.mid,tense,tense,Q2
28 Eye Catch.mid,"cheerful, peaceful",peaceful,Q4
42 GET_Item.mid,"cheerful, touching",cheerful,Q1
44 End Logo.mid,"dreamy, cold",dreamy,Q4
46 Shock.mid,tense,tense,Q2
54 The Cave of Life (The Fountain of Youth).mid,"tense, dreamy, grand",tense,Q2
60 Scenario Clear.mid,"dreamy, calm",dreamy,Q4
After Burner (FM) - 01 - Maximum Power.mid,"cheerful, tense, speedy",cheerful,Q1
After Burner (FM) - 02 - Final Take Off.mid,"cheerful, tense, serious, speedy, rhythmic",cheerful,Q1
After Burner (FM) - 03 - After Burner.mid,"cheerful, tense, speedy, fluttered, rhythmic",speedy,Q1
After Burner (FM) - 04 - Super Stripe.mid,"cheerful, tense, serious, speedy",cheerful,Q1
After Burner (FM) - 05 - Red Out.mid,"tense, serious",tense,Q2
After Burner (FM) - 06 - City 202.mid,"cheerful, fluttered, rhythmic",cheerful,Q1
Alex Kidd - The Lost Stars (FM) - 01 - Title Screen.mid,"cheerful, peaceful, cute",cheerful,Q1
Alex Kidd - The Lost Stars (FM) - 03 - Toy World _ Monster World.mid,"cheerful, peaceful, cute, fluttered, rhythmic",cheerful,Q1
Alex Kidd - The Lost Stars (FM) - 04 - Machine World _ Giant_s Body.mid,"cheerful, peaceful, cute, fluttered, rhythmic",cheerful,Q1
Alex Kidd - The Lost Stars (FM) - 05 - World of Make Believe _ The Shrine of Jiggarat.mid,"cheerful, peaceful, cute, rhythmic",cheerful,Q1
Alex Kidd - The Lost Stars (FM) - 06 - Water World.mid,"cheerful, peaceful, cute, rhythmic",cheerful,Q1
Alex Kidd - The Lost Stars (FM) - 08 - Ending.mid,"cheerful, speedy, fluttered",cheerful,Q1
Alex Kidd - The Lost Stars (FM) - 09 - Time Up _ The End.mid,"comic, cute",comic,Q1
Altered Beast (FM) - 01 - Werewolf _ Gold Werewolf.mid,"serious, speedy, fluttered",fluttered,Q1
Altered Beast (FM) - 02 - Transformed.mid,"tense, speedy, fluttered",tense,Q2
Altered Beast (FM) - 03 - Unused Story.mid,"creepy, bizarre",bizarre,Q3
Altered Beast (FM) - 04 - Weredragon _ Weretiger.mid,"tense, creepy, bizarre",bizarre,Q3
Altered Beast (FM) - 05 - Ending.mid,"cheerful, peaceful",cheerful,Q1
Altered Beast (FM) - 06 - Game Over.mid,"depressed, rhythmic, frustrating",rhythmic,Q1
BMX Trial - Alex Kidd - 01 - Blackwood Forest _ Cactus Desert.mid,"cheerful, peaceful, speedy, cute",cheerful,Q1
BMX Trial - Alex Kidd - 02 - South Seas _ Pyramid River.mid,"cheerful, peaceful, speedy, cute",cheerful,Q1
BMX Trial - Alex Kidd - 03 - Radaxian.mid,"cheerful, speedy, cute, grand",cheerful,Q1
BMX Trial - Alex Kidd - 04 - Course Clear.mid,cheerful,cheerful,Q1
BMX Trial - Alex Kidd - 05 - Ending.mid,"cheerful, peaceful, cute",cheerful,Q1
BMX Trial - Alex Kidd - 06 - Jetpack.mid,"cheerful, tense, speedy",cheerful,Q1
BMX Trial - Alex Kidd - 07 - Game Over.mid,"cheerful, speedy",cheerful,Q1
California Games (FM) - 01 - Louie Louie.mid,"cheerful, peaceful, cute, rhythmic",cheerful,Q1
California Games (FM) - 02 - Menu.mid,"tense, serious",tense,Q2
California Games (FM) - 03 - Event Intro.mid,dreamy,dreamy,Q4
California Games (FM) - 04 - Half Pipe.mid,"tense, creepy, speedy",tense,Q2
California Games (FM) - 05 - Foot Bag.mid,"tense, speedy, rhythmic",tense,Q2
California Games (FM) - 06 - Surfing.mid,"cheerful, tense, comic, rhythmic",cheerful,Q1
California Games (FM) - 07 - Skating.mid,"cheerful, tense, speedy, rhythmic",tense,Q2
California Games (FM) - 08 - BMX.mid,"tense, creepy, speedy",tense,Q2
California Games (FM) - 09 - Flying Disk.mid,"cheerful, peaceful, comic, cute",cheerful,Q1
California Games (FM) - 10 - Success.mid,cheerful,cheerful,Q1
California Games (FM) - 11 - Shark.mid,"tense, creepy",tense,Q2
Captain Silver (FM) - 01 - Title Screen.mid,"tense, grand",tense,Q2
Captain Silver (FM) - 02 - Scene Start.mid,"depressed, frustrating",frustrating,Q3
Captain Silver (FM) - 03 - Town of Barren _ Pirate Ship.mid,"tense, depressed, dreamy, rhythmic",tense,Q2
Captain Silver (FM) - 04 - Eerie Piper.mid,"tense, creepy, depressed",depressed,Q3
Captain Silver (FM) - 05 - Boss.mid,"tense, creepy, depressed, bizarre, cold, calm",bizarre,Q3
Captain Silver (FM) - 06 - Scene Complete.mid,"cheerful, cute",cheerful,Q1
Captain Silver (FM) - 07 - Boat _ Cave.mid,"tense, creepy, speedy",tense,Q2
Captain Silver (FM) - 08 - Captain Silver_s Treasure Island.mid,"tense, creepy, speedy, dreamy, bizarre",bizarre,Q3
Captain Silver (FM) - 10 - Ending.mid,"cheerful, peaceful",cheerful,Q1
Captain Silver (FM) - 11 - Game Over.mid,"depressed, frustrating",depressed,Q3
Captain Silver (FM) - 12 - Death.mid,"depressed, frustrating",frustrating,Q3
Columns (FM) - 01 - Filthy.mid,"cheerful, grand, fluttered",fluttered,Q1
Columns (FM) - 02 - Quagmire.mid,"cheerful, touching, grand",touching,Q4
Columns (FM) - 03 - Clotho.mid,"tense, creepy, dreamy, grand, bizarre",dreamy,Q4
Columns (FM) - 04 - Lathesis.mid,"serious, dreamy, calm",dreamy,Q4
Columns (FM) - 05 - Atropos.mid,"cheerful, peaceful, touching, dreamy, calm",dreamy,Q4
Columns (FM) - 06 - Boy Wonder.mid,"peaceful, touching, dreamy, cold, calm",touching,Q4
Columns (FM) - 07 - Concilation.mid,"depressed, touching, grand",touching,Q4
Cyborg Hunter (FM) - 01 - Title Screen.mid,"tense, creepy, bizarre",tense,Q2
Cyborg Hunter (FM) - 02 - Main hallway.mid,"tense, creepy, fluttered",tense,Q2
Cyborg Hunter (FM) - 03 - Level A _ D.mid,"tense, rhythmic, bizarre",bizarre,Q3
Cyborg Hunter (FM) - 04 - Level B _ E.mid,"tense, fluttered, rhythmic",tense,Q2
Cyborg Hunter (FM) - 05 - Level C _ F.mid,"tense, speedy, rhythmic",tense,Q2
Cyborg Hunter (FM) - 06 - Boss Room.mid,"tense, creepy, bizarre",bizarre,Q3
Cyborg Hunter (FM) - 07 - Ending _ Credits.mid,"cheerful, tense, serious, rhythmic",tense,Q2
Cyborg Hunter (FM) - 08 - Game Over.mid,grand,grand,Q1
Disc Station - 01 - Title Screen (FM).mid,"cheerful, peaceful, dreamy, cute, rhythmic",cheerful,Q1
Disc Station - 02 - Menu (FM).mid,"cheerful, peaceful",cheerful,Q1
Double Dragon (FM) - 01 - Title.mid,"cheerful, serious, grand, fluttered, rhythmic",cheerful,Q1
Double Dragon (FM) - 02 - Mission 1.mid,"cheerful, tense, serious, grand, fluttered",tense,Q2
Double Dragon (FM) - 03 - Mission 2.mid,"cheerful, tense, serious, fluttered, rhythmic",cheerful,Q1
Double Dragon (FM) - 04 - Mission 3.mid,"cheerful, tense, grand, fluttered, rhythmic",cheerful,Q1
Double Dragon (FM) - 05 - Mission 4.mid,"cheerful, tense, creepy, serious, grand, fluttered, rhythmic",cheerful,Q1
Double Dragon (FM) - 06 - Boss.mid,"tense, creepy, bizarre",bizarre,Q3
Double Dragon (FM) - 07 - Last Boss.mid,"cheerful, tense, speedy, grand, fluttered",tense,Q2
Double Dragon (FM) - 08 - Mission Complete.mid,"cheerful, peaceful",cheerful,Q1
Double Dragon (FM) - 09 - Ending.mid,"depressed, touching, dreamy, boring, calm",touching,Q4
Dynamite Dux (FM) - 01 - Downtown Achacha City.mid,"cheerful, comic, rhythmic",cheerful,Q1
Dynamite Dux (FM) - 02 - Boss.mid,"tense, speedy, rhythmic",tense,Q2
Dynamite Dux (FM) - 03 - Pseudo Japan.mid,"cheerful, peaceful, speedy, rhythmic",rhythmic,Q1
Dynamite Dux (FM) - 04 - Almost Chicago.mid,"depressed, serious, fluttered, rhythmic",rhythmic,Q1
